HITId,WorkerId,Answer.category.label
308KJXFUJS9R6EKTRAQIUYTV5B5TAS,A1T02KY1E9YI3I,neutral
308KJXFUJS9R6EKTRAQIUYTV5B5TAS,A3RVFAYBGEUVIA,angry
308KJXFUJS9R6EKTRAQIUYTV5B5TAS,A323JR6EQT5Q71,disgust
308KJXFUJS9R6EKTRAQIUYTV5B6ATA,A16GH5GPKBX5GA,happy
308KJXFUJS9R6EKTRAQIUYTV5B6ATA,A3MYXS600K169X,happy
308KJXFUJS9R6EKTRAQIUYTV5B6ATA,A2WCZJI0MRRBL4,angry
309D674SH0OF37NAB2VO0ZDXZ7RBCN,A1SX8IVV82M0LW,angry
309D674SH0OF37NAB2VO0ZDXZ7RBCN,A1QXU4Q3CK75FK,angry
309D674SH0OF37NAB2VO0ZDXZ7RBCN,A2Q855QEV9AG5I,neutral
30EV7DWJTWYM0Y7KB3W5MAJOOUXY6W,A37STRL9Z7ZDSD,fear
30EV7DWJTWYM0Y7KB3W5MAJOOUXY6W,A3150J317JJ00Q,neutral
30EV7DWJTWYM0Y7KB3W5MAJOOUXY6W,A2G44A4ZPWRPXU,neutral
30EV7DWJTWYM0Y7KB3W5MAJOOUY6Y5,A1SX8IVV82M0LW,disgust
30EV7DWJTWYM0Y7KB3W5MAJOOUY6Y5,A1QR2AQ7I9R950,neutral
30EV7DWJTWYM0Y7KB3W5MAJOOUY6Y5,A2WCZJI0MRRBL4,angry
30F94FBDNSNWPOPLXOQEP9D1NTQTBN,A2UFVUTKGCQK8U,happy
30F94FBDNSNWPOPLXOQEP9D1NTQTBN,A1TSD3O3C3ZUT6,happy
30F94FBDNSNWPOPLXOQEP9D1NTQTBN,A16GH5GPKBX5GA,happy
30OITAWPBR6NWMJTZAVTKKFNOZT9HK,A1NOINYD1FZ55T,surprise
30OITAWPBR6NWMJTZAVTKKFNOZT9HK,A3UGMPZAH9KIKG,surprise
30OITAWPBR6NWMJTZAVTKKFNOZT9HK,A2UFVUTKGCQK8U,disgust
30P8I9JKOJO9D0C119ZGN51UAIL5VF,A1TSD3O3C3ZUT6,sad
30P8I9JKOJO9D0C119ZGN51UAIL5VF,A260MIY3WZBFF4,fear
30P8I9JKOJO9D0C119ZGN51UAIL5VF,AO2WNSGOXAX52,neutral
30U1YOGZGBZOPLAQMKCUAU5FOVPDSQ,A2RLY0MUZQ1R1G,neutral
30U1YOGZGBZOPLAQMKCUAU5FOVPDSQ,A3150J317JJ00Q,sad
30U1YOGZGBZOPLAQMKCUAU5FOVPDSQ,AYY9WMJIAPYQT,sad
30UZJB2POIFP1RAIHZTA4A9BJYS35G,A3RVFAYBGEUVIA,happy
30UZJB2POIFP1RAIHZTA4A9BJYS35G,A2HSX08DWDYJU7,neutral
30UZJB2POIFP1RAIHZTA4A9BJYS35G,A26RPQDD0RQEHL,sad
30Y6N4AHYQZCO6AD7VCPKK0J2T6DR2,A24MYCKZ4F1RHO,sad
30Y6N4AHYQZCO6AD7VCPKK0J2T6DR2,AO2WNSGOXAX52,fear
30Y6N4AHYQZCO6AD7VCPKK0J2T6DR2,A2122A7BZNUWXO,sad
30Z7M1Q8UZN88US5OCFN32X8RYL8AJ,A1SX8IVV82M0LW,sad
30Z7M1Q8UZN88US5OCFN32X8RYL8AJ,A1TSD3O3C3ZUT6,sad
30Z7M1Q8UZN88US5OCFN32X8RYL8AJ,A30VOAZX8XTNGW,sad
30ZKOOGW2X9QXU8KPR68OSA0DSF1AS,A3RVFAYBGEUVIA,neutral
30ZKOOGW2X9QXU8KPR68OSA0DSF1AS,A1FPCIKO68OQ63,fear
30ZKOOGW2X9QXU8KPR68OSA0DSF1AS,A3MYXS600K169X,fear
311HQEI8RTJ59OVUQZ3G6VSMPZLZ7N,APEB5ERGCYP6D,happy
311HQEI8RTJ59OVUQZ3G6VSMPZLZ7N,A2WCZJI0MRRBL4,happy
311HQEI8RTJ59OVUQZ3G6VSMPZLZ7N,A3VXL1AHHGZH9W,disgust
31ANT7FQN954VZHHWKIC84AL23A5HP,A3NNDCMBMFK2CZ,neutral
31ANT7FQN954VZHHWKIC84AL23A5HP,A171SF2UF7YUN4,angry
31ANT7FQN954VZHHWKIC84AL23A5HP,A1DXFMUVK5015A,disgust
31D0ZWOD0B2QQ5N2T828ANRQ8090AO,A2EQVOOEAXG3MF,fear
31D0ZWOD0B2QQ5N2T828ANRQ8090AO,A2EJ2T45DR3ENC,disgust
31D0ZWOD0B2QQ5N2T828ANRQ8090AO,A3CJVRJ34U70Y9,neutral
31GECDVA9KPKHEXE5K1D3JZVPK5665,AA9Y4BEMJYWN1,angry
31GECDVA9KPKHEXE5K1D3JZVPK5665,A2GPGALLCMOQ14,disgust
31GECDVA9KPKHEXE5K1D3JZVPK5665,A12W7ZB2DLBBY5,surprise
31GN6YMHLQVNYRAH3FHK2IU0VBUWSH,A2WCZJI0MRRBL4,angry
31GN6YMHLQVNYRAH3FHK2IU0VBUWSH,A3G8NSPRF986WP,angry
31GN6YMHLQVNYRAH3FHK2IU0VBUWSH,A1SX8IVV82M0LW,angry
31HLTCK4BMY7TX1LI5I7R2SJ0RYVGM,A1NOINYD1FZ55T,disgust
31HLTCK4BMY7TX1LI5I7R2SJ0RYVGM,A2H3YXD2QGHMUO,fear
31HLTCK4BMY7TX1LI5I7R2SJ0RYVGM,A30VOAZX8XTNGW,neutral
31HLTCK4BMY7TX1LI5I7R2SJ0RZGV8,A147U23GFDCRW6,surprise
31HLTCK4BMY7TX1LI5I7R2SJ0RZGV8,A19H7KOMN55AMU,surprise
31HLTCK4BMY7TX1LI5I7R2SJ0RZGV8,AB6DIVWQQXQ9B,sad
31J7RYECZMT7TDZOMIVYX6QB74E1LA,A3CJVRJ34U70Y9,neutral
31J7RYECZMT7TDZOMIVYX6QB74E1LA,A24MYCKZ4F1RHO,neutral
31J7RYECZMT7TDZOMIVYX6QB74E1LA,A2E9B1XBM51XSQ,sad
31JUPBOORO7P4DJ9L34DCGDJLAK8L1,A1SX8IVV82M0LW,disgust
31JUPBOORO7P4DJ9L34DCGDJLAK8L1,A2TZDN1NZBZ3V6,disgust
31JUPBOORO7P4DJ9L34DCGDJLAK8L1,A24JKHC4HTY6CD,neutral
31KPKEKW4BGV9FSUZM245YBWQIU0BJ,A1TRO537S2U7QV,happy
31KPKEKW4BGV9FSUZM245YBWQIU0BJ,A12W7ZB2DLBBY5,happy
31KPKEKW4BGV9FSUZM245YBWQIU0BJ,AL2KG1ZCSWKBJ,happy
31KPKEKW4BGV9FSUZM245YBWQIUB0U,A3DQUOVL81OWGH,fear
31KPKEKW4BGV9FSUZM245YBWQIUB0U,A3MYXS600K169X,angry
31KPKEKW4BGV9FSUZM245YBWQIUB0U,AL2KG1ZCSWKBJ,neutral
31KSVEGZ35VBXCA4OQHFC8P499BWRT,A2H3YXD2QGHMUO,fear
31KSVEGZ35VBXCA4OQHFC8P499BWRT,A1XQFG06L9XU2R,angry
31KSVEGZ35VBXCA4OQHFC8P499BWRT,APEB5ERGCYP6D,neutral
31MCUE39BLPNHOZ2YVC187009763GY,A2IP1TOC651QGU,disgust
31MCUE39BLPNHOZ2YVC187009763GY,A3QITL3ZKAWQEM,disgust
31MCUE39BLPNHOZ2YVC187009763GY,A323JR6EQT5Q71,disgust
31ODACBENVIIEUEVR6IEATCE7ADQS7,AHZ08BLAUVT5I,sad
31ODACBENVIIEUEVR6IEATCE7ADQS7,A621PLVD76XTI,fear
31ODACBENVIIEUEVR6IEATCE7ADQS7,A243WOMORG3NZG,fear
31ODACBENVIIEUEVR6IEATCE7ADSQ9,AYY9WMJIAPYQT,sad
31ODACBENVIIEUEVR6IEATCE7ADSQ9,A1FPCIKO68OQ63,neutral
31ODACBENVIIEUEVR6IEATCE7ADSQ9,A12W7ZB2DLBBY5,neutral
31S7M7DAGHT82XBXO1F83C96ZN4TLA,A3150J317JJ00Q,happy
31S7M7DAGHT82XBXO1F83C96ZN4TLA,A1KL8QLFQ4YTOL,fear
31S7M7DAGHT82XBXO1F83C96ZN4TLA,A12W7ZB2DLBBY5,disgust
31SIZS5W5AI6DFEICHI9KJ7IL8UQRJ,A2E9B1XBM51XSQ,neutral
31SIZS5W5AI6DFEICHI9KJ7IL8UQRJ,A1SX8IVV82M0LW,surprise
31SIZS5W5AI6DFEICHI9KJ7IL8UQRJ,AA9Y4BEMJYWN1,neutral
32204AGAACF2BW61DG13C11ASCOGHI,AB6DIVWQQXQ9B,sad
32204AGAACF2BW61DG13C11ASCOGHI,A1UWGITYWD8L0L,angry
32204AGAACF2BW61DG13C11ASCOGHI,A29OJFPXJP5ODV,neutral
322ZSN9Z5HNC4P4CI9GRHV7VD19T4H,A2E9B1XBM51XSQ,fear
322ZSN9Z5HNC4P4CI9GRHV7VD19T4H,A3DQUOVL81OWGH,neutral
322ZSN9Z5HNC4P4CI9GRHV7VD19T4H,A1FPCIKO68OQ63,neutral
324N5FAHSYECVJX48W3MPUKC78FVKP,AB6DIVWQQXQ9B,sad
324N5FAHSYECVJX48W3MPUKC78FVKP,A2MKJA0F8RMUXH,sad
324N5FAHSYECVJX48W3MPUKC78FVKP,A1KL8QLFQ4YTOL,fear
329E6HTMSX5SJAVLOMXG6ZSTGON3K1,A1QXU4Q3CK75FK,sad
329E6HTMSX5SJAVLOMXG6ZSTGON3K1,A1DXFMUVK5015A,angry
329E6HTMSX5SJAVLOMXG6ZSTGON3K1,A29OJFPXJP5ODV,neutral
32CAVSKPCFSAC3MIVWNZOTMUKV6U1W,A267SCN7MD0CRX,fear
32CAVSKPCFSAC3MIVWNZOTMUKV6U1W,A3CJVRJ34U70Y9,angry
32CAVSKPCFSAC3MIVWNZOTMUKV6U1W,A1NOINYD1FZ55T,sad
32CAVSKPCFSAC3MIVWNZOTMUKV71U4,A3POPYMAOO1MIA,neutral
32CAVSKPCFSAC3MIVWNZOTMUKV71U4,A24MYCKZ4F1RHO,neutral
32CAVSKPCFSAC3MIVWNZOTMUKV71U4,A1T02KY1E9YI3I,neutral
32CXT5U14H6SN363UHWE3392Y1D8UV,A3VXL1AHHGZH9W,happy
32CXT5U14H6SN363UHWE3392Y1D8UV,A1SX8IVV82M0LW,happy
32CXT5U14H6SN363UHWE3392Y1D8UV,A3MYXS600K169X,happy
32K26U12DOR4HDRUGFHZLHPMNZIVDC,A2RV6QX6SN4YIC,sad
32K26U12DOR4HDRUGFHZLHPMNZIVDC,A621PLVD76XTI,sad
32K26U12DOR4HDRUGFHZLHPMNZIVDC,A3CJVRJ34U70Y9,neutral
32K26U12DOR4HDRUGFHZLHPMNZJDVV,A37STRL9Z7ZDSD,angry
32K26U12DOR4HDRUGFHZLHPMNZJDVV,A19H7KOMN55AMU,angry
32K26U12DOR4HDRUGFHZLHPMNZJDVV,A1QR2AQ7I9R950,angry
32LAQ1JNTASBLNYRXF79UZ5PCEXTU4,AXVEBBS48RC53,disgust
32LAQ1JNTASBLNYRXF79UZ5PCEXTU4,A2RV6QX6SN4YIC,sad
32LAQ1JNTASBLNYRXF79UZ5PCEXTU4,A1ET12O70SVU74,disgust
32PT7WK7DNIK54PBW5BT2MX3WFQ3DO,A3RVFAYBGEUVIA,angry
32PT7WK7DNIK54PBW5BT2MX3WFQ3DO,A2RV6QX6SN4YIC,neutral
32PT7WK7DNIK54PBW5BT2MX3WFQ3DO,AFT6VDMD6VGDG,angry
32TMVRKDGO1T65COFB5WQZB8ZOP484,A2FWJ2AZ4T2I9J,fear
32TMVRKDGO1T65COFB5WQZB8ZOP484,AYY9WMJIAPYQT,surprise
32TMVRKDGO1T65COFB5WQZB8ZOP484,A297WCJYDD9QBQ,surprise
32TMVRKDGO1T65COFB5WQZB8ZOP848,A3RVFAYBGEUVIA,sad
32TMVRKDGO1T65COFB5WQZB8ZOP848,A3150J317JJ00Q,sad
32TMVRKDGO1T65COFB5WQZB8ZOP848,A2IP1TOC651QGU,sad
32TZXEA1OMNBV5S3GQWHBPO0LIJ14H,A2RV6QX6SN4YIC,sad
32TZXEA1OMNBV5S3GQWHBPO0LIJ14H,A621PLVD76XTI,angry
32TZXEA1OMNBV5S3GQWHBPO0LIJ14H,A2IP1TOC651QGU,angry
32TZXEA1OMNBV5S3GQWHBPO0LIJ41K,AISFU4P55HYEH,sad
32TZXEA1OMNBV5S3GQWHBPO0LIJ41K,A2122A7BZNUWXO,fear
32TZXEA1OMNBV5S3GQWHBPO0LIJ41K,A1TSD3O3C3ZUT6,sad
32W3UF2EZPOVI821WNL1SL7RPFA4CA,A3QITL3ZKAWQEM,happy
32W3UF2EZPOVI821WNL1SL7RPFA4CA,AJ43O59MBI55L,happy
32W3UF2EZPOVI821WNL1SL7RPFA4CA,AHZ08BLAUVT5I,happy
32XN26MTX0M7MOE6QZRYJ1712C80L6,A3QITL3ZKAWQEM,neutral
32XN26MTX0M7MOE6QZRYJ1712C80L6,A3CJVRJ34U70Y9,sad
32XN26MTX0M7MOE6QZRYJ1712C80L6,A16GH5GPKBX5GA,sad
32ZCLEW0B0N4FFUQ4ZUBINVH6VFJPU,A29OJFPXJP5ODV,happy
32ZCLEW0B0N4FFUQ4ZUBINVH6VFJPU,A8LBBPY53A3O3,happy
32ZCLEW0B0N4FFUQ4ZUBINVH6VFJPU,A1XQFG06L9XU2R,happy
334ZEL5JX7IFTI1FCTQALOHES9VSO1,AXVEBBS48RC53,neutral
334ZEL5JX7IFTI1FCTQALOHES9VSO1,A1SX8IVV82M0LW,angry
334ZEL5JX7IFTI1FCTQALOHES9VSO1,A3DQUOVL81OWGH,neutral
335VBRURDK3BCCSR99NNZHIAWJ19E4,AB6DIVWQQXQ9B,happy
335VBRURDK3BCCSR99NNZHIAWJ19E4,A1T02KY1E9YI3I,neutral
335VBRURDK3BCCSR99NNZHIAWJ19E4,A2IP1TOC651QGU,happy
335VBRURDK3BCCSR99NNZHIAWJ1E99,A3POPYMAOO1MIA,neutral
335VBRURDK3BCCSR99NNZHIAWJ1E99,A147U23GFDCRW6,neutral
335VBRURDK3BCCSR99NNZHIAWJ1E99,A1APEUBLZLIDXS,happy
336OE47KI3N3QJRLXAMPD5E7UFOVWL,A1QXU4Q3CK75FK,happy
336OE47KI3N3QJRLXAMPD5E7UFOVWL,A8LBBPY53A3O3,happy
336OE47KI3N3QJRLXAMPD5E7UFOVWL,A69HWH4QYTZ19,happy
337F8MIIM0GBOG7LK7SHXK5QGQD04D,AXVEBBS48RC53,neutral
337F8MIIM0GBOG7LK7SHXK5QGQD04D,APEB5ERGCYP6D,neutral
337F8MIIM0GBOG7LK7SHXK5QGQD04D,A3QITL3ZKAWQEM,angry
337F8MIIM0GBOG7LK7SHXK5QGQD40H,A2122A7BZNUWXO,sad
337F8MIIM0GBOG7LK7SHXK5QGQD40H,A2RV6QX6SN4YIC,sad
337F8MIIM0GBOG7LK7SHXK5QGQD40H,AJ43O59MBI55L,disgust
33BFF6QPI2EJEAP2D0GJUAMO3VVW3P,A1QR2AQ7I9R950,happy
33BFF6QPI2EJEAP2D0GJUAMO3VVW3P,A1KL8QLFQ4YTOL,happy
33BFF6QPI2EJEAP2D0GJUAMO3VVW3P,A3DQUOVL81OWGH,happy
33BFF6QPI2EJEAP2D0GJUAMO3VW3WX,AXVEBBS48RC53,happy
33BFF6QPI2EJEAP2D0GJUAMO3VW3WX,A1FPCIKO68OQ63,fear
33BFF6QPI2EJEAP2D0GJUAMO3VW3WX,A3UGMPZAH9KIKG,angry
33EEIIWHK8AY6MVZL1NJLGWL6E7QVC,A323JR6EQT5Q71,disgust
33EEIIWHK8AY6MVZL1NJLGWL6E7QVC,A2RV6QX6SN4YIC,neutral
33EEIIWHK8AY6MVZL1NJLGWL6E7QVC,A3CJVRJ34U70Y9,fear
33EEIIWHK8AY6MVZL1NJLGWL6E7VQH,A2WCZJI0MRRBL4,happy
33EEIIWHK8AY6MVZL1NJLGWL6E7VQH,A24JKHC4HTY6CD,fear
33EEIIWHK8AY6MVZL1NJLGWL6E7VQH,A30VOAZX8XTNGW,happy
33IXYHIZB6L0CS7SO088PUAWQDR2E5,AXAXLC0TXQ0QW,fear
33IXYHIZB6L0CS7SO088PUAWQDR2E5,A1QXU4Q3CK75FK,happy
33IXYHIZB6L0CS7SO088PUAWQDR2E5,AFT6VDMD6VGDG,fear
33IXYHIZB6L0CS7SO088PUAWQDRE2H,A323JR6EQT5Q71,sad
33IXYHIZB6L0CS7SO088PUAWQDRE2H,A3INH7VQY14DOF,sad
33IXYHIZB6L0CS7SO088PUAWQDRE2H,A1NOINYD1FZ55T,happy
33J5JKFMK71EUDTG1RHD2L42FUF3QT,A2UFVUTKGCQK8U,disgust
33J5JKFMK71EUDTG1RHD2L42FUF3QT,A3INH7VQY14DOF,surprise
33J5JKFMK71EUDTG1RHD2L42FUF3QT,A1QXU4Q3CK75FK,surprise
33K3E8REWXYK470YZM71NA86SJU8XN,AFT6VDMD6VGDG,happy
33K3E8REWXYK470YZM71NA86SJU8XN,AISFU4P55HYEH,happy
33K3E8REWXYK470YZM71NA86SJU8XN,A30VOAZX8XTNGW,happy
33KGGVH24VK2T7GD01YM80LYEDO1XW,A3150J317JJ00Q,happy
33KGGVH24VK2T7GD01YM80LYEDO1XW,A3NNDCMBMFK2CZ,happy
33KGGVH24VK2T7GD01YM80LYEDO1XW,A3CJVRJ34U70Y9,happy
33KMQD9OFKHMPEPO74BXFBZNF69774,A1APEUBLZLIDXS,sad
33KMQD9OFKHMPEPO74BXFBZNF69774,A147U23GFDCRW6,sad
33KMQD9OFKHMPEPO74BXFBZNF69774,A69HWH4QYTZ19,neutral
33N1S8XHHNORY2GS1JM75L19MDLZ1Q,A1TSD3O3C3ZUT6,happy
33N1S8XHHNORY2GS1JM75L19MDLZ1Q,A24MYCKZ4F1RHO,disgust
33N1S8XHHNORY2GS1JM75L19MDLZ1Q,A1SX8IVV82M0LW,disgust
33N1S8XHHNORY2GS1JM75L19MDM1ZT,A1UWGITYWD8L0L,fear
33N1S8XHHNORY2GS1JM75L19MDM1ZT,A2122A7BZNUWXO,disgust
33N1S8XHHNORY2GS1JM75L19MDM1ZT,AISFU4P55HYEH,surprise
33NKDW9FFYLMGAQBGYN6PW4PIAEXCH,A2H3YXD2QGHMUO,sad
33NKDW9FFYLMGAQBGYN6PW4PIAEXCH,A1DXFMUVK5015A,sad
33NKDW9FFYLMGAQBGYN6PW4PIAEXCH,A1T02KY1E9YI3I,sad
33NOQL7T9P29920D04VMKVOH0JRZ8A,A3POPYMAOO1MIA,neutral
33NOQL7T9P29920D04VMKVOH0JRZ8A,A260MIY3WZBFF4,neutral
33NOQL7T9P29920D04VMKVOH0JRZ8A,A1T02KY1E9YI3I,neutral
33NOQL7T9P29920D04VMKVOH0JS8ZK,A2UKJR30NX8K4Q,neutral
33NOQL7T9P29920D04VMKVOH0JS8ZK,A1SX8IVV82M0LW,neutral
33NOQL7T9P29920D04VMKVOH0JS8ZK,A2MKJA0F8RMUXH,neutral
33Q5P9PUSQPBL5QQHGBRMHK0QACZCG,A1TRO537S2U7QV,happy
33Q5P9PUSQPBL5QQHGBRMHK0QACZCG,A69HWH4QYTZ19,neutral
33Q5P9PUSQPBL5QQHGBRMHK0QACZCG,AHZ08BLAUVT5I,happy
33QQ60S6ATLA5E10ZDJZAO3KF30U0T,A1SX8IVV82M0LW,happy
33QQ60S6ATLA5E10ZDJZAO3KF30U0T,A2MKJA0F8RMUXH,happy
33QQ60S6ATLA5E10ZDJZAO3KF30U0T,A3MYXS600K169X,happy
33QQ60S6ATLA5E10ZDJZAO3KF310U0,A1QXU4Q3CK75FK,happy
33QQ60S6ATLA5E10ZDJZAO3KF310U0,AXVEBBS48RC53,angry
33QQ60S6ATLA5E10ZDJZAO3KF310U0,A15V2Z0JVLFIRS,angry
33TGB4G0LQK32RSM2KIWE64T6WETXW,A3G8NSPRF986WP,neutral
33TGB4G0LQK32RSM2KIWE64T6WETXW,A3CJVRJ34U70Y9,sad
33TGB4G0LQK32RSM2KIWE64T6WETXW,A16GH5GPKBX5GA,sad
33TGB4G0LQK32RSM2KIWE64T6WEXT0,A30VOAZX8XTNGW,surprise
33TGB4G0LQK32RSM2KIWE64T6WEXT0,A2GPGALLCMOQ14,happy
33TGB4G0LQK32RSM2KIWE64T6WEXT0,A1FPCIKO68OQ63,fear
33W1NHWFYIOS7MS1326HBRK4EWCTZT,A3POPYMAOO1MIA,surprise
33W1NHWFYIOS7MS1326HBRK4EWCTZT,A2RLY0MUZQ1R1G,surprise
33W1NHWFYIOS7MS1326HBRK4EWCTZT,A2EJ2T45DR3ENC,fear
341H3G5YF1HRRDVA50I7RGIZHLFZ0N,A12W7ZB2DLBBY5,happy
341H3G5YF1HRRDVA50I7RGIZHLFZ0N,A3VXL1AHHGZH9W,disgust
341H3G5YF1HRRDVA50I7RGIZHLFZ0N,A2MKJA0F8RMUXH,disgust
341H3G5YF1HRRDVA50I7RGIZHLG0ZP,A243WOMORG3NZG,sad
341H3G5YF1HRRDVA50I7RGIZHLG0ZP,AO2WNSGOXAX52,neutral
341H3G5YF1HRRDVA50I7RGIZHLG0ZP,A323JR6EQT5Q71,sad
341YLJU21J2CSX9EKJYZA98OI6Y2IE,A1SX8IVV82M0LW,fear
341YLJU21J2CSX9EKJYZA98OI6Y2IE,A621PLVD76XTI,fear
341YLJU21J2CSX9EKJYZA98OI6Y2IE,A260MIY3WZBFF4,fear
3421H3BM9BKJNSEJNAYEWXV21RX9JP,AYY9WMJIAPYQT,neutral
3421H3BM9BKJNSEJNAYEWXV21RX9JP,A3150J317JJ00Q,sad
3421H3BM9BKJNSEJNAYEWXV21RX9JP,AJ43O59MBI55L,disgust
3421H3BM9BKJNSEJNAYEWXV21RXJ9Z,A1QR2AQ7I9R950,sad
3421H3BM9BKJNSEJNAYEWXV21RXJ9Z,AO2WNSGOXAX52,happy
3421H3BM9BKJNSEJNAYEWXV21RXJ9Z,APEB5ERGCYP6D,neutral
344M16OZKJIW1EWLAJ6SHIDU18IEN8,AYY9WMJIAPYQT,neutral
344M16OZKJIW1EWLAJ6SHIDU18IEN8,A1SX8IVV82M0LW,neutral
344M16OZKJIW1EWLAJ6SHIDU18IEN8,AA9Y4BEMJYWN1,neutral
34F34TZU7X28N8TK21JZMANOVLN2JQ,A2GPGALLCMOQ14,neutral
34F34TZU7X28N8TK21JZMANOVLN2JQ,A1DXFMUVK5015A,neutral
34F34TZU7X28N8TK21JZMANOVLN2JQ,A2H3YXD2QGHMUO,sad
34HEO7RUG7XEQZ71NLLNUJSDHQ8RAD,A30VOAZX8XTNGW,neutral
34HEO7RUG7XEQZ71NLLNUJSDHQ8RAD,A37STRL9Z7ZDSD,sad
34HEO7RUG7XEQZ71NLLNUJSDHQ8RAD,A3G8NSPRF986WP,fear
34O39PNDK7BJ99CTTZLJPUCJZ8TRB8,A12W7ZB2DLBBY5,neutral
34O39PNDK7BJ99CTTZLJPUCJZ8TRB8,A3CJVRJ34U70Y9,fear
34O39PNDK7BJ99CTTZLJPUCJZ8TRB8,A2122A7BZNUWXO,fear
34OWYT6U3XKNSHUD5SDEKWG2OC89ID,A2WCZJI0MRRBL4,angry
34OWYT6U3XKNSHUD5SDEKWG2OC89ID,AISFU4P55HYEH,neutral
34OWYT6U3XKNSHUD5SDEKWG2OC89ID,A1ET12O70SVU74,neutral
34R0BODSP22SBPQF6JA6N1D8ANI5E9,A3NNDCMBMFK2CZ,happy
34R0BODSP22SBPQF6JA6N1D8ANI5E9,A2RV6QX6SN4YIC,happy
34R0BODSP22SBPQF6JA6N1D8ANI5E9,A2GPGALLCMOQ14,happy
34R0BODSP22SBPQF6JA6N1D8ANIE5I,A1QXU4Q3CK75FK,surprise
34R0BODSP22SBPQF6JA6N1D8ANIE5I,A1DXFMUVK5015A,surprise
34R0BODSP22SBPQF6JA6N1D8ANIE5I,A1AKBW27YZ3U48,fear
34R3P23QHT4Y8IW1SL5LY4NYM0DWHW,A30VOAZX8XTNGW,fear
34R3P23QHT4Y8IW1SL5LY4NYM0DWHW,A1UWGITYWD8L0L,fear
34R3P23QHT4Y8IW1SL5LY4NYM0DWHW,A1T02KY1E9YI3I,neutral
34YWR3PJ29D2MIVV4IUMUV2O9LI0XS,A3CJVRJ34U70Y9,sad
34YWR3PJ29D2MIVV4IUMUV2O9LI0XS,AXVEBBS48RC53,disgust
34YWR3PJ29D2MIVV4IUMUV2O9LI0XS,A2UFVUTKGCQK8U,angry
34ZTTGSNJYRTOL0FGC6F6F5CYZWQHM,APEB5ERGCYP6D,neutral
34ZTTGSNJYRTOL0FGC6F6F5CYZWQHM,A1SX8IVV82M0LW,disgust
34ZTTGSNJYRTOL0FGC6F6F5CYZWQHM,A3RVFAYBGEUVIA,neutral
3511RHPADWHVMIY5KCAD3X8OB27LRP,A30VOAZX8XTNGW,sad
